id,correct,question,a,b,c,d
T4B08,1,What is the advantage of having multiple receive bandwidth choices on a multimode transceiver?,Permits monitoring several modes at once by selecting a separate filter for each mode,Permits noise or interference reduction by selecting a bandwidth matching the mode,Increases the number of frequencies that can be stored in memory,Increases the amount of offset between receive and transmit frequencies
T4B09,2,How is a specific group of stations selected on a digital voice transceiver?,By retrieving the frequencies from transceiver memory,By enabling the group’s CTCSS tone,By entering the group’s identification code,By activating automatic identification
T4B10,2,Which of the following receiver filter bandwidths provides the best signal-to-noise ratio for SSB reception?,500 Hz,1000 Hz,2400 Hz,5000 Hz
T4B11,0,Which of the following must be programmed into a D-STAR digital transceiver before transmitting?,Your call sign,Your output power,The codec type being used,All these choices are correct
T4B12,3,What is the result of tuning an FM receiver above or below a signal’s frequency?,Change in audio pitch,Sideband inversion,Generation of a heterodyne tone,Distortion of the signal’s audio
T5A01,3,Electrical current is measured in which of the following units?,Volts,Watts,Ohms,Amperes
T5A02,1,Electrical power is measured in which of the following units?,Volts,Watts,Watt-hours,Amperes
T5A03,3,What is the name for the flow of electrons in an electric circuit?,Voltage,Resistance,Capacitance,Current
T5A04,2,What are the units of electrical resistance?,Siemens,Mhos,Ohms,Coulombs
T5A05,0,What is the electrical term for the force that causes electron flow?,Voltage,Ampere-hours,Capacitance,Inductance
T5A06,0,What is the unit of frequency?,Hertz,Henry,Farad,Tesla
T5A07,1,Why are metals generally good conductors of electricity?,They have relatively high density,They have many free electrons,They have many free protons,All these choices are correct
T5A08,1,Which of the following is a good electrical insulator?,Copper,Glass,Aluminum,Mercury
T5A09,2,Which of the following describes alternating current?,Current that alternates between a positive direction and zero,Current that alternates between a negative direction and zero,Current that alternates between positive and negative directions,All these answers are correct
T5A10,2,Which term describes the rate at which electrical energy is used?,Resistance,Current,Power,Voltage
T5A11,3,What type of current flow is opposed by resistance?,Direct current,Alternating current,RF current,All these choices are correct
T5A12,3,What describes the number of times per second that an alternating current makes a complete cycle?,Pulse rate,Speed,Wavelength,Frequency
T5B01,2,How many milliamperes is 1.5 amperes?,15 milliamperes,150 milliamperes,1500 milliamperes,"15,000 milliamperes"
T5B02,0,"Which is equal to 1,500,000 hertz?",1500 kHz,1500 MHz,15 GHz,150 kHz
T5B03,2,Which is equal to one kilovolt?,One one-thousandth of a volt,One hundred volts,One thousand volts,One million volts
T5B04,0,Which is equal to one microvolt?,One one-millionth of a volt,One million volts,One thousand kilovolts,One one-thousandth of a volt
T5B05,1,Which is equal to 500 milliwatts?,0.02 watts,0.5 watts,5 watts,50 watts
T5B06,3,Which is equal to 3000 milliamperes?,0.003 amperes,0.3 amperes,"3,000,000 amperes",3 amperes
T5B07,2,Which is equal to 3.525 MHz?,0.003525 kHz,35.25 kHz,3525 kHz,"3,525,000 kHz"
T5B08,1,"Which is equal to 1,000,000 picofarads?",0.001 microfarads,1 microfarad,1000 microfarads,"1,000,000,000 microfarads"
T5B09,1,Which decibel value most closely represents a power increase from 5 watts to 10 watts?,2 dB,3 dB,5 dB,10 dB
T5B10,2,Which decibel value most closely represents a power decrease from 12 watts to 3 watts?,-1 dB,-3 dB,-6 dB,-9 dB
T5B11,0,Which decibel value represents a power increase from 20 watts to 200 watts?,10 dB,12 dB,18 dB,28 dB
T5B12,3,Which is equal to 28400 kHz?,28.400 kHz,2.800 MHz,284.00 MHz,28.400 MHz
T5B13,2,Which is equal to 2425 MHz?,0.002425 GHz,24.25 GHz,2.425 GHz,2425 GHz
T5C01,3,What describes the ability to store energy in an electric field?,Inductance,Resistance,Tolerance,Capacitance
T5C02,0,What is the unit of capacitance?,The farad,The ohm,The volt,The henry
T5C03,3,What describes the ability to store energy in a magnetic field?,Admittance,Capacitance,Resistance,Inductance
T5C04,2,What is the unit of inductance?,The coulomb,The farad,The henry,The ohm
T5C05,3,What is the unit of impedance?,The volt,The ampere,The coulomb,The ohm
T5C06,0,What does the abbreviation “RF” mean?,Radio frequency signals of all types,The resonant frequency of a tuned circuit,The real frequency transmitted as opposed to the apparent frequency,Reflective force in antenna transmission lines
T5C07,3,What is the abbreviation for megahertz?,MH,mh,Mhz,MHz
T5C08,0,What is the formula used to calculate electrical power (P) in a DC circuit?,P = I × E,P = E / I,P = E – I,P = I + E
T5C09,0,How much power is delivered by a voltage of 13.8 volts DC and a current of 10 amperes?,138 watts,0.7 watts,23.8 watts,3.8 watts
T5C10,1,How much power is delivered by a voltage of 12 volts DC and a current of 2.5 amperes?,4.8 watts,30 watts,14.5 watts,0.208 watts
T5C11,1,How much current is required to deliver 120 watts at a voltage of 12 volts DC?,0.1 amperes,10 amperes,12 amperes,132 amperes
T5C12,0,What is impedance?,The opposition to AC current flow,The inverse of resistance,The Q or Quality Factor of a component,The power handling capability of a component
T5C13,3,What is the abbreviation for kilohertz?,KHZ,khz,khZ,kHz
T5D01,1,What formula is used to calculate current in a circuit?,I = E × R,I = E / R,I = E + R,I = E - R
T5D02,0,What formula is used to calculate voltage in a circuit?,E = I x R,E = I / R,E = I + R,E = I - R
T5D03,1,What formula is used to calculate resistance in a circuit?,R = E x I,R = E / I,R = E + I,R = E - I
T5D04,1,What is the resistance of a circuit in which a current of 3 amperes flows when connected to 90 volts?,3 ohms,30 ohms,93 ohms,270 ohms
T5D05,2,What is the resistance of a circuit for which the applied voltage is 12 volts and the current flow is 1.5 amperes?,18 ohms,0.125 ohms,8 ohms,13.5 ohms
T5D06,0,What is the resistance of a circuit that draws 4 amperes from a 12-volt source?,3 ohms,16 ohms,48 ohms,8 ohms
T5D07,3,What is the current in a circuit with an applied voltage of 120 volts and a resistance of 80 ohms?,9600 amperes,200 amperes,0.667 amperes,1.5 amperes
T5D08,2,What is the current through a 100-ohm resistor connected across 200 volts?,"20,000 amperes",0.5 amperes,2 amperes,100 amperes
T5D09,2,What is the current through a 24-ohm resistor connected across 240 volts?,"24,000 amperes",0.1 amperes,10 amperes,216 amperes
T5D10,0,What is the voltage across a 2-ohm resistor if a current of 0.5 amperes flows through it?,1 volt,0.25 volts,2.5 volts,1.5 volts
T5D11,1,What is the voltage across a 10-ohm resistor if a current of 1 ampere flows through it?,1 volt,10 volts,11 volts,9 volts
T5D12,3,What is the voltage across a 10-ohm resistor if a current of 2 amperes flows through it?,8 volts,0.2 volts,12 volts,20 volts
T5D13,0,In which type of circuit is DC current the same through all components?,Series,Parallel,Resonant,Branch
T5D14,1,In which type of circuit is voltage the same across all components?,Series,Parallel,Resonant,Branch
T6A01,1,What electrical component opposes the flow of current in a DC circuit?,Inductor,Resistor,Inverter,Transformer
T6A02,2,What type of component is often used as an adjustable volume control?,Fixed resistor,Power resistor,Potentiometer,Transformer
T6A03,1,What electrical parameter is controlled by a potentiometer?,Inductance,Resistance,Capacitance,Field strength
T6A04,1,What electrical component stores energy in an electric field?,Varistor,Capacitor,Inductor,Diode
T6A05,3,What type of electrical component consists of conductive surfaces separated by an insulator?,Resistor,Potentiometer,Oscillator,Capacitor
T6A06,2,What type of electrical component stores energy in a magnetic field?,Varistor,Capacitor,Inductor,Diode
T6A07,3,What electrical component is typically constructed as a coil of wire?,Switch,Capacitor,Diode,Inductor
T6A08,2,What is the function of an SPDT switch?,A single circuit is opened or closed,Two circuits are opened or closed,A single circuit is switched between one of two other circuits,Two circuits are each switched between one of two other circuits
T6A09,0,What electrical component is used to protect other circuit components from current overloads?,Fuse,Thyratron,Varactor,All these choices are correct
T6A10,3,Which of the following battery chemistries is rechargeable?,Nickel-metal hydride,Lithium-ion,Lead-acid,All these choices are correct
T6A11,1,Which of the following battery chemistries is not rechargeable?,Nickel-cadmium,Carbon-zinc,Lead-acid,Lithium-ion
T6A12,0,What type of switch is represented by component 3 in figure T-2?,Single-pole single-throw,Single-pole double-throw,Double-pole single-throw,Double-pole double-throw
T6B01,0,Which is true about forward voltage drop in a diode?,It is lower in some diode types than in others,It is proportional to peak inverse voltage,It indicates that the diode is defective,It has no impact on the voltage delivered to the load
T6B02,2,What electronic component allows current to flow in only one direction?,Resistor,Fuse,Diode,Driven element
T6B03,2,Which of these components can be used as an electronic switch?,Varistor,Potentiometer,Transistor,Thermistor
T6B04,1,Which of the following components can consist of three regions of semiconductor material?,Alternator,Transistor,Triode,Pentagrid converter
T6B05,1,"What type of transistor has a gate, drain, and source?",Varistor,Field-effect,Tesla-effect,Bipolar junction
T6B06,1,How is the cathode lead of a semiconductor diode often marked on the package?,"With the word ""cathode""",With a stripe,With the letter C,With the letter K
T6B07,0,What causes a light-emitting diode (LED) to emit light?,Forward current,Reverse current,Capacitively-coupled RF signal,Inductively-coupled RF signal
T6B08,3,What does the abbreviation FET stand for?,Frequency Emission Transmitter,Fast Electron Transistor,Free Electron Transmitter,Field Effect Transistor
T6B09,2,What are the names for the electrodes of a diode?,Plus and minus,Source and drain,Anode and cathode,Gate and base
T6B10,1,Which of the following can provide power gain?,Transformer,Transistor,Reactor,Resistor
T6B11,0,What is the term that describes a device's ability to amplify a signal?,Gain,Forward resistance,Forward voltage drop,On resistance
T6B12,1,What are the names of the electrodes of a bipolar junction transistor?,"Signal, bias, power","Emitter, base, collector","Input, output, supply","Pole one, pole two, output"
T6C01,2,What is the name of an electrical wiring diagram that uses standard component symbols?,Bill of materials,Connector pinout,Schematic,Flow chart
T6C02,0,What is component 1 in figure T-1?,Resistor,Transistor,Battery,Connector
T6C03,1,What is component 2 in figure T-1?,Resistor,Transistor,Indicator lamp,Connector
T6C04,2,What is component 3 in figure T-1?,Resistor,Transistor,Lamp,Ground symbol
T6C05,3,What is component 4 in figure T-1?,Resistor,Transistor,Ground symbol,Battery
T6C06,1,What is component 6 in figure T-2?,Resistor,Capacitor,Regulator IC,Transistor
T6C07,3,What is component 8 in figure T-2?,Resistor,Inductor,Regulator IC,Light emitting diode
T6C08,2,What is component 9 in figure T-2?,Variable capacitor,Variable inductor,Variable resistor,Variable transformer
T6C09,3,What is component 4 in figure T-2?,Variable inductor,Double-pole switch,Potentiometer,Transformer
T6C10,3,What is component 3 in figure T-3?,Connector,Meter,Variable capacitor,Variable inductor
T6C11,0,What is component 4 in figure T-3?,Antenna,Transmitter,Dummy load,Ground
T6C12,2,Which of the following is accurately represented in electrical schematics?,Wire lengths,Physical appearance of components,Component connections,All these choices are correct
T6D01,1,Which of the following devices or circuits changes an alternating current into a varying direct current signal?,Transformer,Rectifier,Amplifier,Reflector
T6D02,0,What is a relay?,An electrically-controlled switch,A current controlled amplifier,An inverting amplifier,A pass transistor
T6D03,2,Which of the following is a reason to use shielded wire?,To decrease the resistance of DC power connections,To increase the current carrying capability of the wire,To prevent coupling of unwanted signals to or from the wire,To couple the wire to other signals
T6D04,2,Which of the following displays an electrical quantity as a numeric value?,Potentiometer,Transistor,Meter,Relay
T6D05,0,What type of circuit controls the amount of voltage from a power supply?,Regulator,Oscillator,Filter,Phase inverter
T6D06,1,What component changes 120 V AC power to a lower AC voltage for other uses?,Variable capacitor,Transformer,Transistor,Diode
T6D07,0,Which of the following is commonly used as a visual indicator?,LED,FET,Zener diode,Bipolar transistor
T6D08,3,Which of the following is combined with an inductor to make a resonant circuit?,Resistor,Zener diode,Potentiometer,Capacitor
T6D09,2,What is the name of a device that combines several semiconductors and other components into one package?,Transducer,Multi-pole relay,Integrated circuit,Transformer
T6D10,2,What is the function of component 2 in figure T-1?,Give off light when current flows through it,Supply electrical energy,Control the flow of current,Convert electrical energy into radio waves
T6D11,0,Which of the following is a resonant or tuned circuit?,An inductor and a capacitor in series or parallel,A linear voltage regulator,A resistor circuit used for reducing standing wave ratio,A circuit designed to provide high-fidelity audio
T7A01,1,Which term describes the ability of a receiver to detect the presence of a signal?,Linearity,Sensitivity,Selectivity,Total Harmonic Distortion
T7A02,0,What is a transceiver?,A device that combines a receiver and transmitter,A device for matching feed line impedance to 50 ohms,A device for automatically sending and decoding Morse code,A device for converting receiver and transmitter frequencies to another band
T7A03,1,Which of the following is used to convert a signal from one frequency to another?,Phase splitter,Mixer,Inverter,Amplifier
T7A04,2,Which term describes the ability of a receiver to discriminate between multiple signals?,Discrimination ratio,Sensitivity,Selectivity,Harmonic distortion
T7A05,3,What is the name of a circuit that generates a signal at a specific frequency?,Reactance modulator,Phase modulator,Low-pass filter,Oscillator
T7A06,2,What device converts the RF input and output of a transceiver to another band?,High-pass filter,Low-pass filter,Transverter,Phase converter
T7A07,1,What is the function of a transceiver’s PTT input?,Input for a key used to send CW,Switches transceiver from receive to transmit when grounded,Provides a transmit tuning tone when grounded,Input for a preamplifier tuning tone
T7A08,2,Which of the following describes combining speech with an RF carrier signal?,Impedance matching,Oscillation,Modulation,Low-pass filtering
T7A09,1,What is the function of the SSB/CW-FM switch on a VHF power amplifier?,Change the mode of the transmitted signal,Set the amplifier for proper operation in the selected mode,Change the frequency range of the amplifier to operate in the proper segment of the band,Reduce the received signal noise
T7A10,1,What device increases the transmitted output power from a transceiver?,A voltage divider,An RF power amplifier,An impedance network,All these choices are correct
T7A11,0,Where is an RF preamplifier installed?,Between the antenna and receiver,At the output of the transmitter power amplifier,Between the transmitter and the antenna tuner,At the output of the receiver audio amplifier
T7B01,3,What can you do if you are told your FM handheld or mobile transceiver is over-deviating?,Talk louder into the microphone,Let the transceiver cool off,Change to a higher power level,Talk farther away from the microphone
T7B02,0,What would cause a broadcast AM or FM radio to receive an amateur radio transmission unintentionally?,The receiver is unable to reject strong signals outside the AM or FM band,The microphone gain of the transmitter is turned up too high,The audio amplifier of the transmitter is overloaded,The deviation of an FM transmitter is set too low
T7B03,3,Which of the following can cause radio frequency interference?,Fundamental overload,Harmonics,Spurious emissions,All these choices are correct
T7B04,3,Which of the following could you use to cure distorted audio caused by RF current on the shield of a microphone cable?,Band-pass filter,Low-pass filter,Preamplifier,Ferrite choke
T7B05,0,How can fundamental overload of a non-amateur radio or TV receiver by an amateur signal be reduced or eliminated?,Block the amateur signal with a filter at the antenna input of the affected receiver,Block the interfering signal with a filter on the amateur transmitter,Switch the transmitter from FM to SSB,Switch the transmitter to a narrow-band mode
T7B06,0,Which of the following actions should you take if a neighbor tells you that your station’s transmissions are interfering with their radio or TV reception?,Make sure that your station is functioning properly and that it does not cause interference to your own radio or television when it is tuned to the same channel,Immediately turn off your transmitter and contact the nearest FCC office for assistance,Install a harmonic doubler on the output of your transmitter and tune it until the interference is eliminated,All these choices are correct
T7B07,3,Which of the following can reduce overload of a VHF transceiver by a nearby commercial FM station?,Installing an RF preamplifier,Using double-shielded coaxial cable,Installing bypass capacitors on the microphone cable,Installing a band-reject filter
T7B08,3,What should you do if something in a neighbor’s home is causing harmful interference to your amateur station?,Work with your neighbor to identify the offending device,Politely inform your neighbor that FCC rules prohibit the use of devices that cause interference,Make sure your station meets the standards of good amateur practice,All these choices are correct
T7B09,3,What should be the first step to resolve non-fiber optic cable TV interference caused by your amateur radio transmission?,Add a low-pass filter to the TV antenna input,Add a high-pass filter to the TV antenna input,Add a preamplifier to the TV antenna input,Be sure all TV feed line coaxial connectors are installed properly
T7B10,3,What might be a problem if you receive a report that your audio signal through an FM repeater is distorted or unintelligible?,Your transmitter is slightly off frequency,Your batteries are running low,You are in a bad location,All these choices are correct
T7B11,2,What is a symptom of RF feedback in a transmitter or transceiver?,Excessive SWR at the antenna connection,The transmitter will not stay on the desired frequency,"Reports of garbled, distorted, or unintelligible voice transmissions",Frequent blowing of power supply fuses
T7C01,0,What is the primary purpose of a dummy load?,To prevent transmitting signals over the air when making tests,To prevent over-modulation of a transmitter,To improve the efficiency of an antenna,To improve the signal-to-noise ratio of a receiver
T7C02,1,Which of the following is used to determine if an antenna is resonant at the desired operating frequency?,A VTVM,An antenna analyzer,A Q meter,A frequency counter
T7C03,1,What does a dummy load consist of?,A high-gain amplifier and a TR switch,A non-inductive resistor mounted on a heat sink,A low-voltage power supply and a DC relay,A 50-ohm reactance used to terminate a transmission line
T7C04,2,What reading on an SWR meter indicates a perfect impedance match between the antenna and the feed line?,50:50,Zero,1:1,Full Scale
T7C05,0,Why do most solid-state transmitters reduce output power as SWR increases beyond a certain level?,To protect the output amplifier transistors,To comply with FCC rules on spectral purity,Because power supplies cannot supply enough current at high SWR,To lower the SWR on the transmission line
T7C06,3,What does an SWR reading of 4:1 indicate?,Loss of -4 dB,Good impedance match,Gain of +4 dB,Impedance mismatch
T7C07,2,What happens to power lost in a feed line?,It increases the SWR,It is radiated as harmonics,It is converted into heat,It distorts the signal
T7C08,3,Which instrument can be used to determine SWR?,Voltmeter,Ohmmeter,Iambic pentameter,Directional wattmeter
T7C09,0,Which of the following causes failure of coaxial cables?,Moisture contamination,Solder flux contamination,Rapid fluctuation in transmitter output power,Operation at 100% duty cycle for an extended period
T7C10,3,Why should the outer jacket of coaxial cable be resistant to ultraviolet light?,Ultraviolet resistant jackets prevent harmonic radiation,Ultraviolet light can increase losses in the cable’s jacket,"Ultraviolet and RF signals can mix, causing interference",Ultraviolet light can damage the jacket and allow water to enter the cable
T7C11,2,What is a disadvantage of air core coaxial cable when compared to foam or solid dielectric types?,It has more loss per foot,It cannot be used for VHF or UHF antennas,It requires special techniques to prevent moisture in the cable,It cannot be used at below freezing temperatures
T7D01,1,Which instrument would you use to measure electric potential?,An ammeter,A voltmeter,A wavemeter,An ohmmeter
T7D02,1,How is a voltmeter connected to a component to measure applied voltage?,In series,In parallel,In quadrature,In phase
T7D03,0,"When configured to measure current, how is a multimeter connected to a component?",In series,In parallel,In quadrature,In phase
T7D04,3,Which instrument is used to measure electric current?,An ohmmeter,An electrometer,A voltmeter,An ammeter
T7D06,2,Which of the following can damage a multimeter?,Attempting to measure resistance using the voltage setting,Failing to connect one of the probes to ground,Attempting to measure voltage when using the resistance setting,Not allowing it to warm up properly
T7D07,2,Which of the following measurements are made using a multimeter?,Signal strength and noise,Impedance and reactance,Voltage and resistance,All these choices are correct
T7D08,0,Which of the following types of solder should not be used for radio and electronic applications?,Acid-core solder,Lead-tin solder,Rosin-core solder,Tin-copper solder
T7D09,2,What is the characteristic appearance of a cold tin-lead solder joint?,Dark black spots,A bright or shiny surface,A rough or lumpy surface,Excessive solder
T7D10,0,"What reading indicates that an ohmmeter is connected across a large, discharged capacitor?",Increasing resistance with time,Decreasing resistance with time,Steady full-scale reading,Alternating between open and short circuit
T7D11,1,Which of the following precautions should be taken when measuring in-circuit resistance with an ohmmeter?,Ensure that the applied voltages are correct,Ensure that the circuit is not powered,Ensure that the circuit is grounded,Ensure that the circuit is operating at the correct frequency
T8A01,2,Which of the following is a form of amplitude modulation?,Spread spectrum,Packet radio,Single sideband,Phase shift keying (PSK)
T8A02,0,What type of modulation is commonly used for VHF packet radio transmissions?,FM or PM,SSB,AM,PSK
T8A03,2,Which type of voice mode is often used for long-distance (weak signal) contacts on the VHF and UHF bands?,FM,DRM,SSB,PM
T8A04,3,Which type of modulation is commonly used for VHF and UHF voice repeaters?,AM,SSB,PSK,FM or PM
T8A05,2,Which of the following types of signal has the narrowest bandwidth?,FM voice,SSB voice,CW,Slow-scan TV
T8A06,0,"Which sideband is normally used for 10 meter HF, VHF, and UHF single-sideband communications?",Upper sideband,Lower sideband,Suppressed sideband,Inverted sideband
T8A07,2,What is a characteristic of single sideband (SSB) compared to FM?,SSB signals are easier to tune in correctly,SSB signals are less susceptible to interference,SSB signals have narrower bandwidth,All these choices are correct
T8A08,1,What is the approximate bandwidth of a typical single sideband (SSB) voice signal?,1 kHz,3 kHz,6 kHz,15 kHz
T8A09,2,What is the approximate bandwidth of a VHF repeater FM voice signal?,Less than 500 Hz,About 150 kHz,Between 10 and 15 kHz,Between 50 and 125 kHz
T8A10,1,What is the approximate bandwidth of AM fast-scan TV transmissions?,More than 10 MHz,About 6 MHz,About 3 MHz,About 1 MHz
T8A11,1,What is the approximate bandwidth required to transmit a CW signal?,2.4 kHz,150 Hz,1000 Hz,15 kHz
T8A12,1,Which of the following is a disadvantage of FM compared with single sideband?,Voice quality is poorer,Only one signal can be received at a time,FM signals are harder to tune,All these choices are correct
T8B01,2,What telemetry information is typically transmitted by satellite beacons?,The signal strength of received signals,Time of day accurate to plus or minus 1/10 second,Health and status of the satellite,All these choices are correct
T8B02,1,What is the impact of using excessive effective radiated power on a satellite uplink?,Possibility of commanding the satellite to an improper mode,Blocking access by other users,Overloading the satellite batteries,Possibility of rebooting the satellite control computer
T8B03,3,Which of the following are provided by satellite tracking programs?,Maps showing the real-time position of the satellite track over Earth,"The time, azimuth, and elevation of the start, maximum altitude, and end of a pass","The apparent frequency of the satellite transmission, including effects of Doppler shift",All these choices are correct
T8B04,3,What mode of transmission is commonly used by amateur radio satellites?,SSB,FM,CW/data,All these choices are correct
T8B05,3,What is a satellite beacon?,The primary transmit antenna on the satellite,An indicator light that shows where to point your antenna,A reflective surface on the satellite,A transmission from a satellite that contains status information
T8B06,1,Which of the following are inputs to a satellite tracking program?,The satellite transmitted power,The Keplerian elements,The last observed time of zero Doppler shift,All these choices are correct
T8B07,2,What is Doppler shift in reference to satellite communications?,A change in the satellite orbit,A mode where the satellite receives signals on one band and transmits on another,An observed change in signal frequency caused by relative motion between the satellite and Earth station,A special digital communications mode for some satellites
T8B08,1,What is meant by the statement that a satellite is operating in U/V mode?,The satellite uplink is in the 15 meter band and the downlink is in the 10 meter band,The satellite uplink is in the 70 centimeter band and the downlink is in the 2 meter band,The satellite operates using ultraviolet frequencies,The satellite frequencies are usually variable
T8B09,1,What causes spin fading of satellite signals?,Circular polarized noise interference radiated from the sun,Rotation of the satellite and its antennas,Doppler shift of the received signal,Interfering signals within the satellite uplink band
T8B10,3,What is a LEO satellite?,A sun synchronous satellite,A highly elliptical orbit satellite,A satellite in low energy operation mode,A satellite in low earth orbit
T8B11,0,Who may receive telemetry from a space station?,Anyone,A licensed radio amateur with a transmitter equipped for interrogating the satellite,A licensed radio amateur who has been certified by the protocol developer,A licensed radio amateur who has registered for an access code from AMSAT
T8B12,2,Which of the following is a way to determine whether your satellite uplink power is neither too low nor too high?,Check your signal strength report in the telemetry data,Listen for distortion on your downlink signal,Your signal strength on the downlink should be about the same as the beacon,All these choices are correct
T8C01,2,Which of the following methods is used to locate sources of noise interference or jamming?,Echolocation,Doppler radar,Radio direction finding,Phase locking
T8C02,1,Which of these items would be useful for a hidden transmitter hunt?,Calibrated SWR meter,A directional antenna,A calibrated noise bridge,All these choices are correct
T8C03,3,What operating activity involves contacting as many stations as possible during a specified period?,Simulated emergency exercises,Net operations,Public service events,Contesting
T8C04,2,Which of the following is good procedure when contacting another station in a contest?,Sign only the last two letters of your call if there are many other stations calling,Contact the station twice to be sure that you are in his log,Send only the minimum information needed for proper identification and the contest exchange,All these choices are correct
T8C05,0,What is a grid locator?,A letter-number designator assigned to a geographic location,A letter-number designator assigned to an azimuth and elevation,An instrument for neutralizing a final amplifier,An instrument for radio direction finding
T8C06,1,How is over the air access to IRLP nodes accomplished?,By obtaining a password that is sent via voice to the node,By using DTMF signals,By entering the proper internet password,By using CTCSS tone codes
T8C07,3,What is Voice Over Internet Protocol (VoIP)?,A set of rules specifying how to identify your station when linked over the internet to another station,A technique employed to “spot” DX stations via the internet,A technique for measuring the modulation quality of a transmitter using remote sites monitored via the internet,A method of delivering voice communications over the internet using digital techniques
T8C08,0,What is the Internet Radio Linking Project (IRLP)?,"A technique to connect amateur radio systems, such as repeaters, via the internet using Voice Over Internet Protocol (VoIP)",A system for providing access to websites via amateur radio,A system for informing amateurs in real time of the frequency of active DX stations,A technique for measuring signal strength of an amateur transmitter via the internet
T8C09,3,Which of the following protocols enables an amateur station to transmit through a repeater without using a radio to initiate the transmission?,IRLP,D-STAR,DMR,EchoLink
T8C10,2,What is required before using the EchoLink system?,Complete the required EchoLink training,Purchase a license to use the EchoLink software,Register your call sign and provide proof of license,All these choices are correct
T8C11,0,What is an amateur radio station that connects other amateur stations to the internet?,A gateway,A repeater,A digipeater,A beacon
T8D01,3,Which of the following is a digital communications mode?,Packet radio,IEEE 802.11,FT8,All these choices are correct
T8D02,1,What is a “talkgroup” on a DMR repeater?,A group of operators sharing common interests,A way for groups of users to share a channel at different times without hearing other users on the channel,A protocol that increases the signal-to-noise ratio when multiple repeaters are linked together,A net that meets at a specified time
T8D03,3,What kind of data can be transmitted by APRS?,GPS position data,Text messages,Weather data,All these choices are correct
T8D04,2,"What type of transmission is indicated by the term ""NTSC?""",A Normal Transmission mode in Static Circuit,A special mode for satellite uplink,An analog fast-scan color TV signal,A frame compression scheme for TV signals
T8D05,0,Which of the following is an application of APRS?,Providing real-time tactical digital communications in conjunction with a map showing the locations of stations,Showing automatically the number of packets transmitted via PACTOR during a specific time interval,Providing voice over internet connection between repeaters,Providing information on the number of stations signed into a repeater
T8D06,1,"What does the abbreviation ""PSK"" mean?",Pulse Shift Keying,Phase Shift Keying,Packet Short Keying,Phased Slide Keying
T8D07,0,Which of the following describes DMR?,A technique for time-multiplexing two digital voice signals on a single 12.5 kHz repeater channel,An automatic position tracking mode for FM mobiles communicating through repeaters,An automatic computer logging technique for hands-off logging when communicating while operating a vehicle,A digital technique for transmitting on two repeater inputs simultaneously for automatic error correction
T8D08,3,Which of the following is included in packet radio transmissions?,A check sum that permits error detection,A header that contains the call sign of the station to which the information is being sent,Automatic repeat request in case of error,All these choices are correct
T8D09,3,What is CW?,A type of electromagnetic propagation,A digital mode used primarily on 2 meter FM,A technique for coil winding,Another name for a Morse code transmission
T8D10,3,Which of the following operating activities is supported by digital mode software in the WSJT-X software suite?,Earth-Moon-Earth,Weak signal propagation beacons,Meteor scatter,All these choices are correct
T8D11,2,What is an ARQ transmission system?,A special transmission format limited to video signals,A system used to encrypt command signals to an amateur radio satellite,An error correction method in which the receiving station detects errors and sends a request for retransmission,A method of compressing data using autonomous reiterative Q codes prior to final encoding
T8D12,0,Which of the following best describes an amateur radio mesh network?,An amateur-radio based data network using commercial Wi-Fi equipment with modified firmware,A wide-bandwidth digital voice mode employing DMR protocols,A satellite communications network using modified commercial satellite TV hardware,An internet linking protocol used to network repeaters
T8D13,1,What is FT8?,A wideband FM voice mode,A digital mode capable of low signal-to-noise operation,An eight channel multiplex mode for FM repeaters,A digital slow-scan TV mode with forward error correction and automatic color compensation
T9A01,2,What is a beam antenna?,An antenna built from aluminum I-beams,An omnidirectional antenna invented by Clarence Beam,An antenna that concentrates signals in one direction,An antenna that reverses the phase of received signals
T9A02,0,Which of the following describes a type of antenna loading?,Electrically lengthening by inserting inductors in radiating elements,Inserting a resistor in the radiating portion of the antenna to make it resonant,Installing a spring in the base of a mobile vertical antenna to make it more flexible,Strengthening the radiating elements of a beam antenna to better resist wind damage
T9A03,1,Which of the following describes a simple dipole oriented parallel to Earth's surface?,A ground-wave antenna,A horizontally polarized antenna,A travelling-wave antenna,A vertically polarized antenna
T9A04,0,"What is a disadvantage of the short, flexible antenna supplied with most handheld radio transceivers, compared to a full-sized quarter-wave antenna?",It has low efficiency,It transmits only circularly polarized signals,It is mechanically fragile,All these choices are correct
T9A05,2,Which of the following increases the resonant frequency of a dipole antenna?,Lengthening it,Inserting coils in series with radiating wires,Shortening it,Adding capacitive loading to the ends of the radiating wires
T9A06,3,Which of the following types of antenna offers the greatest gain?,5/8 wave vertical,Isotropic,J pole,Yagi
T9A07,0,What is a disadvantage of using a handheld VHF transceiver with a flexible antenna inside a vehicle?,Signal strength is reduced due to the shielding effect of the vehicle,"The bandwidth of the antenna will decrease, increasing SWR","The SWR might decrease, decreasing the signal strength",All these choices are correct
T9A08,2,"What is the approximate length, in inches, of a quarter-wavelength vertical antenna for 146 MHz?",112,50,19,12
T9A09,2,"What is the approximate length, in inches, of a half-wavelength 6 meter dipole antenna?",6,50,112,236
T9A10,3,In which direction does a half-wave dipole antenna radiate the strongest signal?,Equally in all directions,Off the ends of the antenna,In the direction of the feed line,Broadside to the antenna
